feature1,feature2
1.6776426722581017,-2.526678700511535,6
-1.395768748189049,0.27852107719274327,6
1.6760109061904847,-2.813748720996968,6
-0.8950514529906881,1.3641926642320115,6
2.720406897622907,-3.1501891279688516,6
2.3868557239276447,-2.842994669002493,6
-1.5640130937068504,0.6849377394482,6
-2.066753418770019,0.4372477622973473,6
-0.5833421083078959,1.2015203584082728,6
-1.2939125760097419,0.29429035158664846,6
-1.451630119866697,1.8101759432241105,6
-1.138591352129979,0.8571046624522176,6
-5.241004524643699,3.5758672391188675,6
-5.700802347478339,4.4720040867255175,6
-0.5317563709181515,1.1860765846225392,6
