feature1,feature2,cluster
5.614253764877275,-10.193599150561331,11
-0.5987421761850396,-6.340929093870572,11
6.309842792899171,-2.011990970694985,11
-2.8746228827929983,-10.931685194206608,11
7.460933598891539,-9.335981725288004,11
-0.05573146565115383,-7.203307205116277,11
0.7989740892611374,-1.447248497201856,11
6.814716506181255,-9.681368305141042,11
2.6667290708327682,-9.77479149477907,11
0.6922592688552016,-5.7317544446193835,11
3.8727569009046485,-9.771599983575575,11
3.2904317487209425,0.46009263442494897,11
3.3860499798559496,-9.893016942874377,11
5.066153763835906,-3.7935675370838187,11
4.077836499310491,-5.40056371420712,11
2.0289225881055604,-7.34336395392569,11
0.1191647475456934,-5.009028798945292,11
0.857139499231705,-3.93354767678524,11
0.007810182870501503,-6.88709750432191,11
0.13231804095640776,-13.048080508347727,11
2.915613777455661,-11.374409611076,11
5.903366673940333,-2.711137373290977,11
7.203451621565144,-6.127214306578085,11
0.0152311677339374,-8.819269613925506,11
3.5361739904245058,-9.380845450975587,11
-0.8609556014934476,-8.111480021482777,11
5.117784333943642,-5.352744611660986,11
0.8703698036867786,-11.087740517240796,11
10.531374832657411,-1.9682236782764109,11
-0.06775617965664216,-8.283703990973978,11
0.04602272904635196,-10.096775356865306,11
6.459050721137915,-4.340131785869057,11
0.7098900409958935,-7.48292372546265,11
4.601227104057131,-11.77297726352397,11
-1.625486272724534,-7.1431113461127,11
5.932998559415034,-3.0160206214778946,11
-0.87487059820283,-8.032542302569706,11
7.082252550676621,-6.377484243532272,11
6.501449313048541,-3.799541557409979,11
5.902544999978314,-8.867016315830773,11
1.0063368364391296,-12.221463029909737,11
1.1569082929713326,-0.7999348382821287,11
8.262670485235384,-5.272504726959211,11
1.7757782748207689,-7.2806432884143994,11
0.6159197321169003,-5.556032423993981,11
8.314045022327134,-4.149071623458753,11
0.6159652286492379,1.1098531983351898,11
8.235108920130081,-6.536155788133064,11
-1.7369365933272185,-8.692602749809424,11
-1.973915844006953,-9.872203824932084,11
-0.020496875243853463,-0.7681398323435786,11
-1.1785442909601187,-7.409332475220802,11
-1.2938223931389476,-11.635254368992346,11
1.9867403982736955,-9.000862656302997,11
0.1946856848463634,-7.830923542823456,11
6.062867626170229,-2.614310098201133,11
0.06664705053998832,-4.504248622378215,11
6.56324478734763,-8.980299959958515,11
-0.2351276889335061,-5.435009324673766,11
-2.7565070291301152,-7.250974247592422,11
5.666791927607463,-3.6354182229228957,11
5.164756327261228,-11.346285541037277,11
0.26362838592862836,-6.9775349846991315,11
0.9590147924260393,-4.021192010840609,11
4.906707066145306,-5.049490213871712,11
1.796912341932553,-6.1021901342209235,11
1.6893574876792055,-10.257988868296922,11
0.009272413555287962,-9.747702668371051,11
1.283514101755721,-10.322354732498312,11
-2.8814282555606914,-7.949889685900901,11
8.718453198410188,-9.60837323924661,11
-0.9498405414897944,-0.9711161543761664,11
1.162215824165807,-0.7147922400512741,11
4.666348805904822,-12.122569961845368,11
6.303591874192234,-6.523627215738548,11
0.9773952493778202,-9.225085514920558,11
5.9040044033264785,-9.150169044795017,11
1.9538371455044459,-6.7876172042104095,11
-0.33559368279069446,-5.712588326709399,11
4.067164232378168,-11.446017346231152,11
0.7185077268735265,-9.552533542586188,11
4.902541824884148,-5.892806777651607,11
6.165315494549178,-9.570844965952594,11
7.298684538495673,-5.962296884371191,11
