feature1,feature2
-0.3164503027801608,-1.5121892088469662,3
1.2242549626157753,0.5016109120382617,3
-0.46307453490994444,-1.265317946878946,3
1.6874510519845756,1.2783075569616051,3
-0.13447918058321057,2.110397484451179,3
-1.4302078985129338,-1.8238006773251054,3
-0.3744792912723465,-1.1362418344926042,3
-0.4222759854591024,-0.19034455942217865,3
1.8704380269391903,-0.564764189614707,3
-1.531992317501913,-1.7414684393236735,3
1.6219821650563897,0.050201317777015704,3
-0.43185167371882344,-1.1009348464807225,3
-0.8633880348676239,-1.6343179570876403,3
